Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489517,21491,SET OF THREE VINTAGE GIFT WRAPS,1,2009-12-01 11:34:00,1.95,16329.0,United Kingdom
489517,21491,SET OF THREE VINTAGE GIFT WRAPS,1,2009-12-01 11:34:00,1.95,16329.0,United Kingdom
489517,21821,GLITTER STAR GARLAND WITH BELLS ,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
489517,21821,GLITTER STAR GARLAND WITH BELLS ,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
489517,21912,VINTAGE SNAKES & LADDERS,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
489517,21912,VINTAGE SNAKES & LADDERS,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
489517,21912,VINTAGE SNAKES & LADDERS,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
489517,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
489517,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,2009-12-01 11:34:00,3.75,16329.0,United Kingdom
489517,22130,PARTY CONE CHRISTMAS DECORATION ,6,2009-12-01 11:34:00,0.85,16329.0,United Kingdom
